,Text,Dep,Head,Child
128752,Гэндальф,nsubj,начал,[]
129346,Гэндальф,nsubj,вернулся,[]
129629,Гэндальф,nsubj,поведал,[]
130191,Гэндальф,nsubj,добавил,[]
130925,Гэндальф,nsubj,беседовал,[]
130951,Гэндальф,nsubj,подтвердил,[]
131235,Гэндальф,nsubj,ответствовал,[]
131696,Гэндальф,nsubj,просил,[]
131704,Гэндальф,nsubj,уверял,[]
131767,Гэндальф,nsubj,вмешался,[]
132134,Гэндальф,nsubj,вздохнул,[]
133360,Гэндальф,nsubj,поблескивало,"[,]"
133424,Гэндальф,nsubj,просит,[Серый]
134944,Гэндальф,nsubj,посмотрел,[смолк]
134995,Гэндальф,nsubj,сказал,[]
135044,Гэндальф,nsubj,муха,[Серый]
136048,Гэндальф,nsubj,подтвердил,[]
137390,Гэндальф,nsubj,нарушил,[]
137818,Гэндальф,nsubj,покачал,[]
137942,Гэндальф,nsubj,ответил,[]
138028,Гэндальф,nsubj,ошибается,[]
138523,Гэндальф,nsubj,покачал,[]
139334,Гэндальф,nsubj,сказал,[]
139722,Гэндальф,nsubj,сказал,[]
140221,Гэндальф,nsubj,переспросил,[]
140638,Гэндальф,nsubj,молвил,[]
141716,Гэндальф,nsubj,возразил,[]
142045,Гэндальф,nsubj,сказал,[]
142085,Гэндальф,nsubj,вздохнул,[]
142203,Гэндальф,nsubj,спрыгнул,[]
142286,Гэндальф,nsubj,ушел,[]
142309,Гэндальф,nsubj,о,"[ушел.–О, -]"
142906,Гэндальф,nsubj,заключил,[]
143318,Гэндальф,nsubj,завершатся,"[прежде, забота, разрешением]"
143627,Гэндальф,nsubj,вмешался,[]
145396,Гэндальф,nsubj,посохе,[]
146605,Гэндальф,nsubj,шел,[]
147024,Гэндальф,nsubj,вглядывался,[стоявший]
147164,Гэндальф,nsubj,сказал,[]
147444,Гэндальф,nsubj,сказал,[]
147522,Гэндальф,nsubj,молвил,[]
147578,Гэндальф,nsubj,провозгласил,[]
148021,Гэндальф,nsubj,сказал,[]
