,Text,Dep,Head,Child
130668,Арагорн,nsubj,прошел,[]
130680,Арагорн,nsubj,молвил,[]
131456,Арагорн,nsubj,ответил,[]
131600,Арагорн,nsubj,вскричал,[]
135841,Арагорн,nsubj,вставил,[]
135929,Арагорн,nsubj,возразил,[]
139411,Арагорн,nsubj,молвил,[]
141864,Арагорн,nsubj,ушел,[]
143391,Арагорн,nsubj,войдет,[сын]
143412,Арагорн,nsubj,отозвался,[]
143457,Арагорн,nsubj,кивнул,[]
143930,Арагорн,nsubj,вырезали,"[,, ибо, сын]"
143967,Арагорн,nsubj,дал,[]
145120,Арагорн,nsubj,взял,[]
145666,Арагорн,nsubj,сидел,[]
147757,Арагорн,nsubj,молчал,[Только]
147994,Арагорн,nsubj,покачал,[]
148067,Арагорн,nsubj,присоединился,[]
148232,Арагорн,nsubj,шепнул,[]
148291,Арагорн,nsubj,дождался,[]
148484,Арагорн,nsubj,сказал,[]
148976,Арагорн,nsubj,пробормотал,[]
149367,Арагорн,nsubj,ответил,[]
149461,Арагорн,nsubj,избегал,[]
150427,Арагорн,nsubj,сказал,[]
150614,Арагорн,nsubj,добавил,[]
151331,Арагорн,nsubj,сказал,[]
151732,Арагорн,nsubj,молвил,[]
151734,Арагорн,nsubj,Отряде,[]
152358,Арагорн,nsubj,последовал,[]
152552,Арагорн,nsubj,спустился,[]
152866,Арагорн,nsubj,молвил,[]
153070,Арагорн,nsubj,шелохнулись,[Боромир]
153279,Арагорн,nsubj,воспротивился,[]
153399,Арагорн,nsubj,спросил,[темнея]
154088,Арагорн,nsubj,сказал,[]
154127,Арагорн,nsubj,сказал,[]
154213,Арагорн,nsubj,проговорил,[]
154422,Арагорн,nsubj,вскочил:–Если,[]
154548,Арагорн,nsubj,отозвался,[]
155050,Арагорн,nsubj,вонзил,[]
158413,Арагорн,nsubj,промолчал,"[Только, знавший]"
160571,Арагорн,nsubj,шествовал,"[суровый, безмолвный]"
161850,Арагорн,nsubj,сказал,[]
166967,Арагорн,nsubj,кричал,[]
167219,Арагорн,nsubj,откликнулся,[отбежавший]
167286,Арагорн,nsubj,проверил,[]
167477,Арагорн,nsubj,воскликнул,[]
168009,Арагорн,nsubj,уронил,[]
168926,Арагорн,nsubj,несет,[]
168979,Арагорн,nsubj,развел,[]
170737,Арагорн,nsubj,крикнул,[]
170933,Арагорн,nsubj,успели,[Боромиром]
170952,Арагорн,nsubj,крикнул,[]
170991,Арагорн,nsubj,бежал,[]
171124,Арагорн,nsubj,разрубил,[]
171343,Арагорн,nsubj,сказал,[]
171466,Арагорн,nsubj,показал,[]
171837,Арагорн,nsubj,разрешил,[]
172240,Арагорн,nsubj,добавил,[]
172447,Арагорн,nsubj,отозвался,[негромко]
172470,Арагорн,nsubj,щадил,[]
172566,Арагорн,nsubj,вернулся,[бегом]
172599,Арагорн,nsubj,вернулся,[бегом]
172800,Арагорн,nsubj,осмотрел,[]
172815,Арагорн,nsubj,исследовал,[]
172988,Арагорн,nsubj,сказал,[]
173284,Арагорн,nsubj,промыл,[]
173336,Арагорн,nsubj,обмотал,[]
173489,Арагорн,nsubj,вел,[]
173934,Арагорн,nsubj,вздохнул,[]
174061,Арагорн,nsubj,кивнул,[]
174224,Арагорн,nsubj,сказал,[]
174305,Арагорн,nsubj,согласился,[]
174577,Арагорн,nsubj,дал,[]
176505,Арагорн,nsubj,Отвечают,[Леголас]
176685,Бродяга,nsubj,закопал,[Остальное]
178617,Арагорн,nsubj,вмешался,[]
178743,Арагорн,nsubj,нахмурился,[]
181399,Арагорн,nsubj,перенесся,[сам]
181481,Арагорн,nsubj,произнес,[]
182780,Арагорн,nsubj,сказал,[]
183071,Арагорн,nsubj,заговорил,[]
184544,Арагорн,nsubj,оборвал,[]
189168,Арагорн,nsubj,ответил,[]
189534,Арагорн,nsubj,поблагодарил,[]
189635,Арагорн,nsubj,поблагодарил,[]
189932,Арагорн,nsubj,поведи,[их]
189947,Арагорн,nsubj,разрывался,[сам]
189962,Арагорн,nsubj,собирался,[]
191650,Арагорн,nsubj,решил,[]
192020,Арагорн,nsubj,остановил,[]
193017,Арагорн,nsubj,ответил,[]
195606,Арагорн,nsubj,решил,[]
195808,Арагорн,nsubj,знал,[даже]
195963,Арагорн,nsubj,подтвердил,[]
196010,Арагорн,nsubj,возразил,[]
196257,Арагорн,nsubj,возразил,[]
197840,Арагорн,nsubj,пошевелился,[]
198339,Арагорн,nsubj,наблюдал,[]
198420,Арагорн,nsubj,спросил,[]
198460,Арагорн,nsubj,решил,[]
198514,Арагорн,nsubj,позвал,[]
198750,Арагорн,nsubj,скомандовал,[]
199541,Арагорн,nsubj,повел,[]
200262,Арагорн,nsubj,оборвал,[]
200488,Арагорн,nsubj,ответил,[]
200580,Арагорн,nsubj,сказал,[]
200681,Арагорн,nsubj,ответил,[]
200859,Арагорн,nsubj,пойдут,[Леголасом]
200874,Арагорн,nsubj,надеялся,[]
201034,Арагорн,nsubj,ответил,[]
201122,Арагорн,nsubj,бросил,[]
201800,Арагорн,nsubj,собирался,[]
201847,Арагорн,nsubj,согласился,[]
202198,Арагорн,nsubj,крикнул,[]
202567,Арагорн,nsubj,восседал,[сын]
202923,Арагорн,nsubj,показал,[]
203181,Арагорн,nsubj,сказал,[]
203262,Арагорн,nsubj,спал,[]
203301,Арагорн,nsubj,ответил,[]
203333,Арагорн,nsubj,сказал,[]
203377,Арагорн,nsubj,кивнул,[]
203561,Арагорн,nsubj,собрал,[]
203685,Арагорн,nsubj,заговорил,[]
203809,Арагорн,nsubj,посмотрел,[]
204205,Арагорн,nsubj,рыщут,[прав]
205015,Арагорн,nsubj,отступил,[]
207269,Арагорн,nsubj,предположил,[]
207587,Арагорн,nsubj,подтвердил,[]
208145,Арагорн,nsubj,признал,[]
208170,Арагорн,nsubj,признал,[]
208287,Арагорн,nsubj,подтвердил,[]
208361,Арагорн,nsubj,спросил,[]
208462,Арагорн,nsubj,спросил,[]
208629,Арагорн,nsubj,остановил,[]
208709,Арагорн,nsubj,простонал,[]
208776,Арагорн,nsubj,сорвался,[]
208816,Арагорн,nsubj,окликнул,[]
208867,Арагорн,nsubj,поспешил,[]
210290,Арагорн,nsubj,ведет,"[наследник, потомок, ,]"
210569,Арагорн,nsubj,увидел,[]
210696,Арагорн,nsubj,оглядел,[Средьземелье]
210760,Арагорн,nsubj,замер,[]
210815,Арагорн,nsubj,воскликнул,[]
210920,Арагорн,nsubj,понял,[]
211022,Арагорн,nsubj,опустился,[]
211140,Арагорн,nsubj,возразил,[]
211192,Арагорн,nsubj,спросил,[]
211201,Арагорн,nsubj,промолвил,[потрясенный]
211429,Арагорн,nsubj,молвил,[]
211478,Арагорн,nsubj,отозвался,[]
211598,Арагорн,nsubj,напомнил,[]
211694,Арагорн,nsubj,решил,[]
211745,Арагорн,nsubj,воскликнул,[]
211783,Арагорн,nsubj,торжествовал,[]
211892,Арагорн,nsubj,пришли,[]
212038,Арагорн,nsubj,недоумевал,[]
212095,Арагорн,nsubj,добавил,[]
212279,Арагорн,nsubj,связали,[Леголас]
212330,Арагорн,nsubj,остался,[]
212446,Арагорн,nsubj,решил,[]
212752,Арагорн,nsubj,смотреть,"[молвил:–С, Башни]"
213041,Арагорн,nsubj,запел,[]
213226,Арагорн,nsubj,ответил,[]
213271,Арагорн,nsubj,выскочил,[]
213395,Арагорн,nsubj,ответил,[]
213536,Арагорн,nsubj,возразил,[]
213601,Арагорн,nsubj,ответил,[]
213716,Арагорн,nsubj,сказал,[]
213899,Арагорн,nsubj,отыскал,[]
213958,Арагорн,nsubj,напомнил,[]
214029,Арагорн,nsubj,подтвердил,[]
214328,Арагорн,nsubj,встал,[]
214396,Арагорн,nsubj,ответил,[]
214483,Арагорн,nsubj,нагибался,[]
214565,Арагорн,nsubj,нагибался,[]
214725,Арагорн,nsubj,ответил,[]
214781,Арагорн,nsubj,сказал,[]
214926,Арагорн,nsubj,воскликнул,[]
215099,Арагорн,nsubj,воскликнул,[]
215323,Арагорн,nsubj,ответил,[]
215455,Арагорн,nsubj,молвил,[]
215720,Арагорн,nsubj,сказал,[]
215771,Арагорн,nsubj,сказал,[]
215840,Арагорн,nsubj,крикнул:–Стойте,[]
215891,Арагорн,nsubj,нагнулся,[]
215980,Арагорн,nsubj,сказал,[]
216146,Арагорн,nsubj,остановился,[]
216183,Арагорн,nsubj,сказал,[]
216298,Арагорн,nsubj,вмешался,[]
216390,Арагорн,nsubj,сказал,[]
216591,Арагорн,nsubj,напомнил,[]
216646,Арагорн,nsubj,вздохнул,[]
216754,Арагорн,nsubj,ответил,[]
216925,Арагорн,nsubj,отозвался,[]
217005,Арагорн,nsubj,возразил,[]
217068,Арагорн,nsubj,поднялся,[]
217359,Арагорн,nsubj,переставал,[]
217569,Арагорн,nsubj,откликнулся,[]
217718,Арагорн,nsubj,произнес,[]
217932,Арагорн,nsubj,остановился,[]
218042,Арагорн,nsubj,ответил,[]
218181,Арагорн,nsubj,шел,[]
218302,Арагорн,nsubj,устало,[Гимли]
218482,Арагорн,nsubj,спали,[Гимли]
218675,Арагорн,nsubj,приметил,[]
218762,Арагорн,nsubj,воскликнул,[]
218860,Арагорн,nsubj,решил,[]
218935,Арагорн,nsubj,сказал,[]
219045,Арагорн,nsubj,ответил,[]
219456,Арагорн,nsubj,выпрямился,[]
219495,Арагорн,nsubj,стоял,[]
219560,Арагорн,nsubj,вопросил,"[шелохнулся.–Кто, вы]"
219597,Арагорн,nsubj,ответил,[]
219732,Бродяга,nsubj,есть,"[,, !]"
219744,Бродяга,nsubj,имя,[]
219780,Арагорн,nsubj,ответил,[]
220108,Арагорн,nsubj,встал,[]
220209,Арагорн,nsubj,молвил,[]
220362,Арагорн,nsubj,ответил,[]
220474,Арагорн,nsubj,воскликнул,[]
220546,Арагорн,nsubj,вырос,[]
220696,Арагорн,nsubj,ответил,[]
220827,Арагорн,nsubj,воскликнул,[]
221038,Арагорн,nsubj,отозвался,[]
221256,Арагорн,nsubj,ответил,[]
221565,Арагорн,nsubj,сказал,[]
221674,Арагорн,nsubj,проговорил,[]
221859,Арагорн,nsubj,ответил,[]
222729,Арагорн,nsubj,отозвался,[]
222983,Арагорн,nsubj,заметил,[]
223105,Арагорн,nsubj,сказал,[]
223238,Арагорн,nsubj,возразил,[]
223576,Арагорн,nsubj,молвил,[]
223988,Арагорн,nsubj,обернулся,[]
224043,Арагорн,nsubj,спешился,[]
224366,Арагорн,nsubj,обследовали,[товарищи]
224527,Арагорн,nsubj,напомнил,[]
224700,Арагорн,nsubj,предостерег,[]
224768,Арагорн,nsubj,напомнил,[]
224843,Арагорн,nsubj,сел,[]
225022,Арагорн,nsubj,скажи,"[,]"
225049,Арагорн,nsubj,ответил,[]
225163,Арагорн,nsubj,подтвердил,[]
225269,Арагорн,nsubj,легли,[Леголас]
225279,Арагорн,nsubj,обернулся,[]
225453,Арагорн,nsubj,приподнялись,"[Леголасом, потревоженные]"
225484,Арагорн,nsubj,спросил,[]
225646,Арагорн,nsubj,молвил,[]
225851,Арагорн,nsubj,сказал,[]
226529,Бродяга,nsubj,отбил,[кто]
229087,Бродяга,nsubj,возникал,[лицо]
250547,Арагорн,nsubj,сказал,[]
250616,Арагорн,nsubj,сказал,[]
250715,Арагорн,nsubj,сказал,[]
250884,Арагорн,nsubj,начал,[]
251500,Арагорн,nsubj,признал,[]
251797,Арагорн,nsubj,заключил,[]
251808,Арагорн,nsubj,обнаружил,[]
252309,Арагорн,nsubj,набрел,"[в, ,, дело, ,]"
252362,Арагорн,nsubj,сказал,[]
252464,Арагорн,nsubj,сказал,[]
252538,Арагорн,nsubj,задержался,[]
252984,Арагорн,nsubj,стоял,[]
253009,Арагорн,nsubj,ответил,[]
253478,Арагорн,nsubj,сказал,[]
253535,Арагорн,nsubj,продолжал,[]
253851,Арагорн,nsubj,зазвенел,[]
254411,Арагорн,nsubj,спросил,[]
254818,Арагорн,nsubj,начал,[]
254845,Арагорн,nsubj,заговорил,[]
255036,Арагорн,nsubj,заметил,[]
255112,Арагорн,nsubj,заметил,[]
256472,Арагорн,nsubj,посетовал,[]
256746,Арагорн,nsubj,воскликнул,[]
257868,Арагорн,nsubj,покачал,[]
257904,Арагорн,nsubj,ответил,[]
257947,Арагорн,nsubj,стоял,"[сын, высокий]"
258038,Арагорн,nsubj,повторил,[]
259636,Арагорн,nsubj,припал,[]
260796,Арагорн,nsubj,лежал,[]
261618,Арагорн,nsubj,возразил,[]
261762,Арагорн,nsubj,согласился,[]
262166,Арагорн,nsubj,сказал,[]
262472,Арагорн,nsubj,меня,"[–, сын, наследник]"
262974,Арагорн,nsubj,такова,"[медлил.–Нет, воли, расстаться]"
263050,Арагорн,nsubj,правил,"[бы, этот, самый]"
263120,Арагорн,nsubj,сказал,[]
263534,Арагорн,nsubj,жаль,[рассмеялся:–Каждому]
263863,Арагорн,nsubj,показал,[]
265441,Арагорн,nsubj,увидел,[]
265925,Арагорн,nsubj,встали,[остальные]
267077,Арагорн,nsubj,возразил,[]
267261,Арагорн,nsubj,воскликнул,[]
269626,Арагорн,nsubj,взглянул,[]
269671,Арагорн,nsubj,ответил,[]
270033,Арагорн,nsubj,сказал,[]
270067,Арагорн,nsubj,обернулся,[]
270506,Арагорн,nsubj,справа,[]
270721,Арагорн,nsubj,воскликнул,[]
272765,Арагорн,nsubj,воскликнул,[]
274401,Арагорн,nsubj,крикнул,[]
274505,Арагорн,nsubj,отозвался,[]
274694,Арагорн,nsubj,сказал,[]
274849,Арагорн,nsubj,подоспел,[]
275806,Арагорн,nsubj,глянул,[]
276081,Арагорн,nsubj,сказал,[]
276123,Арагорн,nsubj,молвил,[]
276179,Арагорн,nsubj,закричал,[]
276274,Арагорн,nsubj,занял,[]
276437,Арагорн,nsubj,порогом,[]
276490,Арагорн,nsubj,ответил,[]
276559,Арагорн,nsubj,ответил,[]
276594,Арагорн,nsubj,успокоил,[]
276677,Арагорн,nsubj,рассмеялся,[]
276713,Арагорн,nsubj,прошел,[]
276775,Арагорн,nsubj,пересек,[]
276928,Арагорн,nsubj,сказал,[]
277036,Арагорн,nsubj,напомнил,[]
277232,Арагорн,nsubj,Поедешь,"[,]"
277270,Арагорн,nsubj,проговорил,[]
277376,Арагорн,nsubj,поднял,[]
277569,Арагорн,nsubj,ответил,[]
277623,Арагорн,nsubj,проговорил,[]
277764,Арагорн,nsubj,стоял,[]
277783,Арагорн,nsubj,кинулся,[]
277808,Арагорн,nsubj,стоял,[]
277827,Арагорн,nsubj,кинулся,[]
278689,Арагорн,nsubj,ними,"[сын, эльф, Эркенбранд, князья]"
279665,Арагорн,nsubj,сказал,[]
283518,Арагорн,nsubj,спросил,[]
287873,Арагорн,nsubj,расположились,"[Леголас, Гимли]"
287894,Арагорн,nsubj,расположились,"[Леголас, Гимли]"
288182,Арагорн,nsubj,заметил,[]
288347,Арагорн,nsubj,подтвердил,[]
288988,Арагорн,nsubj,поднялся,[]
289029,Арагорн,nsubj,сказал,[]
289098,Бродяга,nsubj,отлучался,"[Следопыт, вернулся!–Он]"
289108,Арагорн,nsubj,сказал,[]
289297,Арагорн,nsubj,отозвался,[]
289413,Арагорн,nsubj,сказал,[]
289507,Арагорн,nsubj,продолжал,[]
289550,Арагорн,nsubj,сказал,[]
289701,Арагорн,nsubj,заметил,[]
290784,Арагорн,nsubj,кивнул,[]
291484,Арагорн,nsubj,возразил,[]
293918,Арагорн,nsubj,вставил,[]
294913,Арагорн,nsubj,вставил,[]
296394,Арагорн,nsubj,ответил,[]
296760,Арагорн,nsubj,возразил,[]
296916,Арагорн,nsubj,сказал,[]
297954,Арагорн,nsubj,пойдет,[]
302368,Арагорн,nsubj,предположил,[]
303138,Арагорн,nsubj,смотрели,"[Леголас, Гимли]"
308121,Арагорн,nsubj,возразил,[]
