,Text,Dep,Head,Child
148174,Сэм,nsubj,шепнул,[]
148190,Сэм,nsubj,понял,[]
148604,Сэм,nsubj,проворчал,[]
149642,Сэм,nsubj,потрепал,[]
149824,Сэм,nsubj,ворчал,[запыхавшийся]
150637,Сэм,nsubj,пробурчал,[]
153222,Сэм,nsubj,впал,[]
154346,Сэм,nsubj,глядел,[]
154640,Сэм,nsubj,ответил,[]
155285,Сэм,nsubj,торжествовал,[]
156843,Сэм,nsubj,вывел,[шедший]
157368,Сэм,nsubj,запротестовал,[]
157447,Сэм,nsubj,возразил,[]
157568,Сэм,nsubj,разрыдался,[]
158959,Сэм,nsubj,бросился,[]
159548,Сэм,nsubj,бросился,[]
159637,Сэм,nsubj,рубил,[]
159654,Сэм,nsubj,потащил,[]
159741,Сэм,nsubj,взбежали,[Фродо]
159854,Сэм,nsubj,рухнул,[цеплявшийся]
160552,Сэм,nsubj,следовал,[]
161151,Сэм,nsubj,пробормотал,[]
161695,Сэм,nsubj,вздохнул,[]
163086,Сэм,nsubj,шепнул,[]
163533,Сэм,nsubj,сказал,[притихший]
163585,Сэм,nsubj,сказал,[притихший]
167831,Сэм,nsubj,бросился,[воплем]
171022,Сэм,nsubj,всхлипывает,[спотыкающийся]
171955,Сэм,nsubj,увязался,[]
172516,Сэм,nsubj,начал,[]
173469,Сэм,nsubj,пришли,[Фродо]
175761,Сэм,nsubj,зашипел,[]
175803,Сэм,nsubj,поспешил,[]
175970,Сэм,nsubj,вскарабкался,[]
176890,Сэм,nsubj,отозвался,[]
176932,Сэм,nsubj,провалился,[]
176954,Сэм,nsubj,похрапывал,[]
178126,Сэм,nsubj,вцепился,[]
180658,Сэм,nsubj,стоит,[]
183895,Сэм,nsubj,опустил,[пунцовый]
184148,Сэм,nsubj,запротестовал,[]
185451,Сэм,nsubj,обрадовался,[]
185742,Сэм,nsubj,вздохнул,[]
186289,Сэм,nsubj,откликнулся,[]
186409,Сэм,nsubj,начал,[]
186445,Сэм,nsubj,успел,[]
186474,Сэм,nsubj,понял,[]
186547,Сэм,nsubj,понял,[]
186570,Сэм,nsubj,вскричал,[]
186673,Сэм,nsubj,пробормотал,[]
186946,Сэм,nsubj,опустился,[]
188857,Сэм,nsubj,ответил,[]
189598,Сэм,nsubj,Сомневался,[один]
189699,Сэм,nsubj,Сомневался,[один]
190307,Сэм,nsubj,клевал,[]
191326,Сэм,nsubj,спросил,[]
191386,Сэм,nsubj,отозвался,[]
191669,Сэм,nsubj,сидел,[]
195469,Сэм,nsubj,его,[тряс]
195949,Сэм,nsubj,воскликнул,[]
196459,Сэм,nsubj,огляделся,[]
196849,Сэм,nsubj,сидел,[]
196937,Сэм,nsubj,лег,[]
196958,Сэм,nsubj,зашептал,[]
196999,Сэм,nsubj,успокоится,[]
197089,Сэм,nsubj,обиделся,[]
197421,Сэм,nsubj,отозвался,[]
197542,Сэм,nsubj,сказал,[]
197665,Сэм,nsubj,трясет,[]
198215,Сэм,nsubj,поглядел,[]
198643,Сэм,nsubj,закричал,[]
199053,Сэм,nsubj,Помогал,[даже]
200462,Сэм,nsubj,признался,[]
203868,Сэм,nsubj,покачал,"[спускал, ,]"
203906,Сэм,nsubj,заметил,[]
207102,Сэм,nsubj,поймет,[]
207861,Сэм,nsubj,подал,[]
207933,Сэм,nsubj,забеспокоился,[]
208484,Сэм,nsubj,вскричал,[]
208616,Сэм,nsubj,завопил,[]
208652,Сэм,nsubj,сорвался,[]
208873,Сэм,nsubj,старался,[]
209171,Сэм,nsubj,бросился,[воплем]
209190,Сэм,nsubj,закричал,[]
209303,Сэм,nsubj,захлебывался,[]
209357,Сэм,nsubj,выкарабкался,"[,, и, мокрый, крыса]"
209444,Сэм,nsubj,вскипел,[]
209581,Сэм,nsubj,согласился,[]
209651,Сэм,nsubj,просиял,[]
209787,Сэм,nsubj,возразил,[]
209826,Сэм,nsubj,помогал,[]
213431,Сэм,nsubj,нес,[]
213539,Сэм,nsubj,прав,[]
213658,Сэм,nsubj,отправился,[]
241016,Сэм,nsubj,пересказал,[]
247719,Сэм,nsubj,там,"[они, –, Фродо, Бродяга?Наконец]"
254735,Сэм,nsubj,увязался,[]
305807,Сэм,nsubj,повторял,[]
311840,Сэм,nsubj,сказал,[Гэмги]
311919,Сэм,nsubj,продвигались,[Фродо]
312073,Сэм,nsubj,сказал,[Гэмги]
312152,Сэм,nsubj,продвигались,[Фродо]
312349,Сэм,nsubj,вздохнул,[]
312561,Сэм,nsubj,пробурчал,[]
312924,Сэм,nsubj,осведомился,[]
312961,Сэм,nsubj,сказал,[]
313066,Сэм,nsubj,вздохнул,[]
313519,Сэм,nsubj,отозвался,[]
313606,Сэм,nsubj,добрались,[Фродо]
313721,Сэм,nsubj,заверил,[]
313895,Сэм,nsubj,отозвался,[]
313932,Сэм,nsubj,возразил,[]
313983,Сэм,nsubj,сел,[]
314129,Сэм,nsubj,сдавался,[]
314161,Сэм,nsubj,возразил,[]
314381,Сэм,nsubj,упал,[]
314412,Сэм,nsubj,пересилил,[]
314436,Сэм,nsubj,заметил,[]
314655,Сэм,nsubj,заорал,[]
314740,Сэм,nsubj,крикнул,[]
314790,Сэм,nsubj,ахнул,[]
314930,Сэм,nsubj,бросил,[]
314999,Сэм,nsubj,отступил,[]
315120,Сэм,nsubj,раскаивался,[]
315279,Сэм,nsubj,подхватил,[]
