,Text,Dep,Head,Child
233500,Мерри,nsubj,поняли,[Пиппин]
233541,Мерри,nsubj,вздохнул,[]
233823,Мерри,nsubj,спорил,[]
234170,Мерри,nsubj,говорил,[]
234418,Мерри,nsubj,ответил,[]
234717,Мерри,nsubj,решил,[]
234952,Мерри,nsubj,уйдем,[]
235115,Мерри,nsubj,сказал,[]
235296,Мерри,nsubj,сказал,[]
235413,Мерри,nsubj,отозвался,[]
235461,Мерри,nsubj,продолжал,[]
235524,Мерри,nsubj,восхитился,[]
235812,Мерри,nsubj,предложил,[]
235968,Мерри,nsubj,заметил,[]
236685,Мерри,nsubj,удивился,[]
236955,Мерри,nsubj,посетовал,[]
237127,Мерри,nsubj,удивился,[]
237589,Мерри,nsubj,начал,[]
237891,Мерри,nsubj,сказал,[]
238122,Мерри,nsubj,объяснил,[]
240509,Мерри,nsubj,пристроились,[Пиппин]
240722,Мерри,nsubj,пристроились,[Пиппин]
242319,Мерри,nsubj,сказал,[]
242998,Мерри,nsubj,развел,[]
244323,Мерри,nsubj,сказал,[]
244534,Мерри,nsubj,услышали,[Пиппином]
245314,Мерри,nsubj,услышали,[Пиппином]
246288,Мерри,nsubj,поразила,[Пиппина]
247033,Мерри,nsubj,поклонились,[Пиппин]
247142,Мерри,nsubj,догадался,[]
247177,Мерри,nsubj,вздохнул,[]
247268,Мерри,nsubj,сказал,[]
255716,Мерри,nsubj,перенеслись,"[:, Пиппин]"
256729,Мерри,nsubj,гостят,[Пиппином]
256983,Мерри,nsubj,повезло,[Пиппину]
286028,Мерри,nsubj,ответил,[]
286790,Мерри,nsubj,ответил,[]
286813,Мерри,nsubj,показал,[]
286866,Мерри,nsubj,отозвался,[]
287004,Мерри,nsubj,сказал,[]
287370,Мерри,nsubj,парировал,[]
287577,Мерри,nsubj,рассмеялся,[]
287667,Мерри,nsubj,рассмеялся,[]
287957,Мерри,nsubj,хлопнул,[]
288259,Мерри,nsubj,согласился,[]
288500,Мерри,nsubj,заверил,[]
288664,Мерри,nsubj,возмутился,[]
288762,Мерри,nsubj,расстроился,[]
