,Text,Dep,Head,Child
273501,Гимли,nsubj,стоял,[]
273731,Гимли,nsubj,сказал,[]
275009,Гимли,nsubj,объявил,[]
275384,Гимли,nsubj,сбежал,[]
275548,Гимли,nsubj,крикнул,[]
275676,Гимли,nsubj,сказал,[]
278763,Гимли,nsubj,лишился,[]
280501,Гимли,nsubj,испугался,[]
280611,Гимли,nsubj,подхватил,[]
280824,Гимли,nsubj,согласился,[]
281258,Гимли,nsubj,возразил,[]
281518,Гимли,nsubj,вздохнул,[]
281639,Гимли,nsubj,вздохнул,[]
281757,Гимли,nsubj,спросил,[]
281917,Гимли,nsubj,закричал,[]
286095,Гимли,nsubj,вскричал,[]
286287,Гимли,nsubj,усомнился,[]
287256,Гимли,nsubj,поехали,"[Арагорн, Леголас]"
287414,Гимли,nsubj,возразил,[]
287544,Гимли,nsubj,поправил,[]
288059,Гимли,nsubj,воскликнул,[]
288196,Гимли,nsubj,согласился,[]
288322,Гимли,nsubj,обманывают,[прав]
288462,Гимли,nsubj,вмешался,[]
288730,Гимли,nsubj,загрустил,[]
288944,Гимли,nsubj,завопил,[]
289579,Гимли,nsubj,заметил,[]
289814,Гимли,nsubj,вспомнил,[]
294394,Гимли,nsubj,набил,[]
295389,Гимли,nsubj,набил,[]
297536,Гимли,nsubj,сказал,[]
297984,Гимли,nsubj,возразил,[]
302543,Гимли,nsubj,заметил,[]
303364,Гимли,nsubj,поклонился,[]
303448,Гимли,nsubj,жив,[]
407213,Гимли,nsubj,поведал,[]
407443,Гимли,nsubj,заметил,[]
407595,Гимли,nsubj,ответил,[]
407661,Гимли,nsubj,согласился,[]
409165,Гимли,nsubj,поедут,[Леголас]
409556,Гимли,nsubj,вскричал,"[испуганный, пораженный]"
409622,Гимли,nsubj,зазвучал,"[Нет, !]"
409897,Гимли,nsubj,покачал,[]
410092,Гимли,nsubj,проговорил,[]
410329,Гимли,nsubj,вздохнул,[]
410458,Гимли,nsubj,осведомился,[]
412912,Гимли,nsubj,пробормотал,[]
413199,Гимли,nsubj,остался,[]
413311,Гимли,nsubj,пытался,[]
413889,Гимли,nsubj,помнил,[]
413927,Гимли,nsubj,оступался,[]
414063,Гимли,nsubj,узнал,[]
414116,Гимли,nsubj,вернулся,[]
421330,Гимли,nsubj,достался,[]
458829,Гимли,nsubj,говорил,[]
458907,Гимли,nsubj,шагал,[]
459310,Гимли,nsubj,подхватил,[]
459705,Гимли,nsubj,возразил,[]
459917,Гимли,nsubj,вздохнул,[]
459984,Гимли,nsubj,сказал,[]
460238,Гимли,nsubj,признался,[]
460860,Гимли,nsubj,вмешался,[]
461332,Гимли,nsubj,усмехнулся,[]
461994,Гимли,nsubj,кивнул,[]
467366,Гимли,nsubj,вошли,"[Леголас, Перегрин]"
503689,Гимли,nsubj,присоединились,"[и, Леголасом]"
503897,Гимли,nsubj,вмешался,[]
504105,Гимли,nsubj,добавил,[]
517161,Гимли,nsubj,кивнул,[]
517216,Гимли,nsubj,поклонился,[]
