,Text,Dep,Head,Child
365149,Голлум,nsubj,очутился,[]
365366,Голлум,nsubj,обернулся.–День,[]
365753,Голлум,nsubj,отозвался,[]
365813,Голлум,nsubj,мог,[]
366210,Голлум,nsubj,огляделся.–А,[]
366526,Голлум,nsubj,стоял,[]
366573,Голлум,nsubj,дрожал,[]
366622,Голлум,nsubj,зашипел,[]
366761,Голлум,nsubj,трусил,[]
367004,Голлум,nsubj,прошептал,[]
367080,Голлум,nsubj,прошептал,[]
367148,Голлум,nsubj,шепнул,[]
367806,Голлум,nsubj,предупреждал,[Обитель]
368038,Голлум,nsubj,очнулся,[]
368367,Голлум,nsubj,засипел,[]
368382,Голлум,nsubj,упал,[]
368406,Голлум,nsubj,говорит,[]
368498,Голлум,nsubj,крался,[]
368538,Голлум,nsubj,нырнул,[]
368869,Голлум,nsubj,зашипел,[]
368894,Голлум,nsubj,показывал,[]
370387,Голлум,nsubj,отполз,[]
370507,Голлум,nsubj,говорил,[]
370701,Голлум,nsubj,зашептал,[]
370840,Голлум,nsubj,отозвался,[]
370878,Голлум,nsubj,сказал,[]
371191,Голлум,nsubj,отозвался,[]
371229,Голлум,nsubj,сказал,[]
371475,Голлум,nsubj,двинулся,[]
371974,Голлум,nsubj,ответил,[]
372217,Голлум,nsubj,свернулся,[]
373523,Голлум,nsubj,покажется,[даже]
373653,Голлум,nsubj,ходил,[]
374499,Голлум,nsubj,посмотрел,[]
374699,Голлум,nsubj,ответил,[]
374794,Смеагол,nsubj,ведет,[]
374939,Голлум,nsubj,прошипел,[]
375001,Голлум,nsubj,бросил,[]
375022,Смеагол,nsubj,пришлось,"[Если, бы, несчастный]"
375123,Голлум,nsubj,вернулся,[]
375179,Голлум,nsubj,ответил,[]
375223,Голлум,nsubj,съябедничал,[]
375253,Голлум,nsubj,съябедничал,[]
375492,Смеагол,nsubj,должен,[]
375519,Голлум,nsubj,уверял,[]
375583,Голлум,nsubj,впереди,[:]
375713,Голлум,nsubj,сказал,[]
375862,Смеагол,nsubj,терпеливый,[]
376156,Голлум,nsubj,вошел,[]
376738,Голлум,nsubj,подевался,[]
379138,Голлум,nsubj,повстречал,[]
379140,Смеагол,nsubj,повстречал,[]
379379,Голлум,nsubj,добыл,[]
380423,Голлум,nsubj,зашипел,[]
380482,Смеагол,nsubj,чем,[]
380488,Смеагол,nsubj,обещал,[]
380524,Смеагол,nsubj,плюнул,[]
380584,Голлум,nsubj,зашипел,[]
380643,Смеагол,nsubj,чем,[]
380649,Смеагол,nsubj,обещал,[]
380685,Смеагол,nsubj,плюнул,[]
380732,Голлум,nsubj,опешил,[]
380829,Голлум,nsubj,оказался,[]
380922,Голлум,nsubj,ожидал,[]
380945,Голлум,nsubj,зашипел,[]
381009,Голлум,nsubj,взвыл,[]
381043,Голлум,nsubj,метнулся,[быстротой]
381134,Голлум,nsubj,столкнулся,[]
381166,Голлум,nsubj,взвизгнул,[]
383573,Голлум,nsubj,нашел,[загнанный]
389951,Голлум,nsubj,идет,[существо]
390625,Голлум,nsubj,настигает,[]
390627,Смеагол,nsubj,настигает,[]
390641,Голлум,nsubj,одержим,[]
390650,Голлум,nsubj,ведет,[]
390761,Голлум,nsubj,говорит,[]
390835,Голлум,nsubj,показывает,[]
428305,Голлум,nsubj,проводника,[]
487281,Голлум,nsubj,помню,"[спасся!–Да, ,]"
488879,Голлум,nsubj,скользнул,[]
488992,Голлум,nsubj,бродит,[]
489077,Голлум,nsubj,лучше,[]
489085,Голлум,nsubj,выдаст,[]
489151,Голлум,nsubj,бродит,[]
489236,Голлум,nsubj,лучше,[]
489244,Голлум,nsubj,выдаст,[]
496819,Голлум,nsubj,катались,[Фродо]
496832,Голлум,nsubj,рвал,[]
496905,Голлум,nsubj,тот,"[,, но]"
497207,Голлум,nsubj,привстал,[]
497313,Голлум,nsubj,прыгнул,[]
497451,Голлум,nsubj,заслужил,[]
497661,Голлум,nsubj,бросился,[]
497700,Голлум,nsubj,стал,[]
498700,Голлум,nsubj,раскачивался,[]
498784,Голлум,nsubj,поднес,[рывком]
498824,Голлум,nsubj,отплясывал,[]
498860,Голлум,nsubj,кричал,[]
