Text,Head
твой,Гэндальф
большой,Гэндальф
достойнейший,Гэндальф
дорогой,Гэндальф
досточтимый,Гэндальф
сам,Гэндальф
широкий,Гэндальф
сам,Гэндальф
достопочтенный,Гэндальф
