Text,Head
Голлум,взвизгнул
Голлум,нашел
Голлум,идет
Голлум,настигает
Смеагол,настигает
Голлум,одержим
Голлум,ведет
Голлум,говорит
Голлум,показывает
Голлум,проводника
Голлум,помню
Голлум,скользнул
Голлум,бродит
Голлум,лучше
Голлум,выдаст
Голлум,бродит
Голлум,лучше
Голлум,выдаст
Голлум,катались
Голлум,рвал
Голлум,тот
Голлум,привстал
Голлум,прыгнул
Голлум,заслужил
Голлум,бросился
Голлум,стал
Голлум,раскачивался
Голлум,поднес
Голлум,отплясывал
Голлум,кричал
