Text,Head
Гэндальф,говорил
Гэндальф,повел
Гэндальф,вышел
Гэндальф,рухнул
Гэндальф,совершил
Гэндальф,хотел
Гэндальф,возглавил
Гэндальф,нес
Гэндальф,нами
Гэндальф,подучил
Гэндальф,обнаружил
Гэндальф,присоединяется
Гэндальф,ведет
Гэндальф,доверил
Гэндальф,боялся
Гэндальф,гостил
Гэндальф,предупредил
Гэндальф,оседлает
Гэндальф,вступился
Гэндальф,участвует
Гэндальф,наказывал
Гэндальф,берет
Гэндальф,ответил
Гэндальф,подтвердил
Гэндальф,воскликнул
Гэндальф,перебивал
Гэндальф,рассказал
Гэндальф,переспросил
Гэндальф,промолвил
Гэндальф,сказал
Гэндальф,возразил
Гэндальф,вздохнул
Гэндальф,заверил
Гэндальф,рассмеялся
Гэндальф,сказал
Гэндальф,воскликнул
Гэндальф,опустил
Гэндальф,поднял
Гэндальф,ответил
Гэндальф,возразил
Гэндальф,сказал
Гэндальф,вздохнул
Гэндальф,продолжал
Гэндальф,рассмеялся
Гэндальф,замолчал
Гэндальф,открыл
Гэндальф,сказал
Гэндальф,свистнул
Гэндальф,подтвердил
Гэндальф,сказал
Гэндальф,объяснил
Гэндальф,указал
Гэндальф,бросил
Гэндальф,дал
Гэндальф,простоял
Гэндальф,успел
Гэндальф,указал
Гэндальф,велел
Гэндальф,сказал
Гэндальф,показал
Гэндальф,ответил
Гэндальф,переспросил
Гэндальф,ступил
Гэндальф,заметил
Гэндальф,остановил
Гэндальф,отмахнулся
Гэндальф,опирался
Гэндальф,нарушил
Гэндальф,промолвил
Гэндальф,молвил
Гэндальф,пропел
Гэндальф,спросил
Гэндальф,постучал
Гэндальф,сказал
Гэндальф,ответил
Гэндальф,отвел
Гэндальф,начал
Гэндальф,заговорил
Гэндальф,поднялся
Гэндальф,произнес
Гэндальф,сказал
Гэндальф,нарушил
Гэндальф,приносит
Гэндальф,улыбнулся
Гэндальф,подтвердил
Гэндальф,напомнил
Гэндальф,молвил
Гэндальф,протянул
Гэндальф,поморщился
Гэндальф,говорил
Гэндальф,ответил
Гэндальф,отказался
Гэндальф,поставит
Гэндальф,поедет
Гэндальф,видит
Гэндальф,свистнул
Гэндальф,отозвался
Гэндальф,повернулся
Гэндальф,сказал
Гэндальф,смотрел
Гэндальф,догонит
Гэндальф,советовал
Гэндальф,покачал
Гэндальф,повторил
Гэндальф,сказал
Гэндальф,согласился
Гэндальф,предупредил
Гэндальф,сказал
Гэндальф,двинулся
Гэндальф,въехал
Гэндальф,ответил
Гэндальф,остановил
Гэндальф,спросил
Гэндальф,кивнул
Гэндальф,ответил
Гэндальф,сказал
Гэндальф,ответил
Гэндальф,крикнул
Гэндальф,миновал
Гэндальф,ехал
Гэндальф,остановился
Гэндальф,рассмеялся
Гэндальф,вмешался
Гэндальф,заметил
Гэндальф,воскликнул
Гэндальф,говаривал
Гэндальф,намекает
Гэндальф,стал
Гэндальф,знал
Гэндальф,говорит
Гэндальф,спешил
Гэндальф,возвратился
Гэндальф,высыпал
Гэндальф,побывал
Гэндальф,сказал
Гэндальф,двинулся
Гэндальф,переспросил
Гэндальф,вздохнул
Гэндальф,молвил
Гэндальф,объявил
Гэндальф,ответил
Гэндальф,кивнул
Гэндальф,крикнул
Гэндальф,потребовал
Гэндальф,стоял
Гэндальф,говорил
Гэндальф,предупреждал
Гэндальф,поднимется
Гэндальф,рассмеялся
Гэндальф,заговорил
Гэндальф,отвечал
Гэндальф,ответил
Гэндальф,приказал
Гэндальф,произнес
Гэндальф,повелел
Гэндальф,согласился
Гэндальф,сбежал
Гэндальф,кивнул
Гэндальф,сказал
Гэндальф,кивнул
Гэндальф,сказал
Гэндальф,пожал
Гэндальф,подытожил
Гэндальф,сказал
Гэндальф,говорил
Гэндальф,подтвердил
Гэндальф,возразил
Гэндальф,сказал
Гэндальф,выехал
Гэндальф,посадил
Гэндальф,заметил
Гэндальф,нахмурился
Гэндальф,лежал
Гэндальф,шевелился
Гэндальф,спал
Гэндальф,пошевелился
Гэндальф,молвил
Гэндальф,остановил
Гэндальф,прикинулся
Гэндальф,сказал
Гэндальф,сдвинул
Гэндальф,приказал
Гэндальф,посоветовал
Гэндальф,зашагал
Гэндальф,успокоил
Гэндальф,поглядел
Гэндальф,согласился
Гэндальф,сказал
Гэндальф,отозвался
Гэндальф,согласился
Гэндальф,стоял
Гэндальф,поднял
Гэндальф,крикнул
Гэндальф,пересек
Гэндальф,ответил
Гэндальф,подтвердил
Гэндальф,успокоил
Гэндальф,вздохнул
Гэндальф,оборвал
Гэндальф,кивнул
Гэндальф,воскликнул
Гэндальф,показал
Гэндальф,ответил
Гэндальф,смог
Гэндальф,стоял
Гэндальф,помнил
Гэндальф,говорил
Гэндальф,побывал
Гэндальф,погиб
Гэндальф,говорил
Гэндальф,погиб
Гэндальф,говорил
Гэндальф,попросил
Гэндальф,одобрил
Гэндальф,одобрил
Гэндальф,избрал
Гэндальф,обнаружил
Гэндальф,присоединяется
Гэндальф,ведет
Гэндальф,исцеляет
Гэндальф,отправляется
Гэндальф,низлагает
Гэндальф,передает
Гэндальф,сказал
Гэндальф,отдавал
Гэндальф,везет
Гэндальф,крикнул
Гэндальф,говорил
Гэндальф,отвечал
Гэндальф,сказал
Гэндальф,остановил
Гэндальф,направился
Гэндальф,ответил
Гэндальф,приближался
Гэндальф,подъехали
Гэндальф,отвечал
Гэндальф,спешился
Гэндальф,пересек
Гэндальф,шепнул
Гэндальф,приостановился
Гэндальф,бросил
Гэндальф,прошел
Гэндальф,подтвердил
Гэндальф,возразил
Гэндальф,вошел
Гэндальф,помог
Гэндальф,возразил
Гэндальф,был
Гэндальф,сдерживает
Гэндальф,переспросил
Гэндальф,сказал
Гэндальф,ответил
Гэндальф,сказал
Гэндальф,вздохнул
Гэндальф,наказал
Гэндальф,любит
Гэндальф,придет
Гэндальф,сказал
Гэндальф,спешил
Гэндальф,назвал
Гэндальф,возвращался
Гэндальф,отозвался
Гэндальф,умчался
Гэндальф,забыл
Гэндальф,возвестил
Гэндальф,передал
Гэндальф,покинул
Гэндальф,дал
Гэндальф,побывал
Гэндальф,ответил
Гэндальф,отчеканил
Гэндальф,подевался
Гэндальф,надрывал
Гэндальф,шел
Гэндальф,шагнул
Гэндальф,опустился
Гэндальф,выпрямился
Гэндальф,вскочил
Гэндальф,мерил
Гэндальф,овладел
Гэндальф,отозвался
Гэндальф,хотелось
Гэндальф,сделал
Гэндальф,сказал
Гэндальф,произнес
Гэндальф,положил
Гэндальф,развел
Гэндальф,говорил
Гэндальф,молвил
Гэндальф,привез
Гэндальф,отправился
Гэндальф,отвечал
Гэндальф,сказал
Гэндальф,взорвется
Гэндальф,вздохнул
Гэндальф,возглавил
Гэндальф,восседал
Гэндальф,произнес
Гэндальф,двигался
Гэндальф,шевельнулся
Гэндальф,понял
Гэндальф,пробормотал
Гэндальф,бросил
Гэндальф,заметил
Гэндальф,молвил
Гэндальф,закричал
Гэндальф,услышал
Гэндальф,взбежал
Гэндальф,бросил
Гэндальф,совершил
Гэндальф,откликнулся
Гэндальф,перешагнул
Гэндальф,позвал
Гэндальф,возразил
Гэндальф,успел
Гэндальф,отвернулся
Гэндальф,нарушил
Гэндальф,поднял
Гэндальф,достиг
Гэндальф,сказал
Гэндальф,стучался
Гэндальф,завернулся
Гэндальф,отозвался
Гэндальф,повернулся
Гэндальф,послал
Гэндальф,появился
Гэндальф,ходил
Гэндальф,выжидал
Гэндальф,ответил
Гэндальф,поспешил
Гэндальф,спешил
Гэндальф,ответил
Гэндальф,советовал
Гэндальф,поведал
Гэндальф,вмешался
Гэндальф,вскричал
Гэндальф,вмешался
Гэндальф,добавил
Гэндальф,вошел
Гэндальф,заверил
Гэндальф,последовал
Гэндальф,прибавил
Гэндальф,участвовал
Гэндальф,начал
Гэндальф,сказал
Гэндальф,разъяснил
Гэндальф,кивнул
Гэндальф,возразил
Гэндальф,вошел
Гэндальф,воспротивился
Гэндальф,заехал
Гэндальф,велел
Гэндальф,взял
Гэндальф,вмешался
Гэндальф,сунул
Гэндальф,приказал
Гэндальф,молвил
Гэндальф,проговорил
Гэндальф,примет
Гэндальф,спускал
Гэндальф,проговорил
Гэндальф,отверг
Гэндальф,послал
Гэндальф,говорил
Гэндальф,стоял
Гэндальф,шевельнулся
Гэндальф,поднял
Гэндальф,воскликнул
Гэндальф,воззвал
Гэндальф,сказал
Гэндальф,воскликнул
